
[  708.490278] Module open!!
[  715.278012] Module open!!
[  720.652158] Module open!!
[  787.224996] OUTBOUND       :17,   68,   67,192.168.56.102 ,192.168.56.100 ,1000
[  787.232866] INBOUND        :17,   67,   68,192.168.56.100 ,192.168.56.102 ,1000
[  794.077393] OUTBOUND       :17,50846,   53,127.0.0.1      ,127.0.0.1      ,0100
[  794.077418] INBOUND        :17,50846,   53,127.0.0.1      ,127.0.0.1      ,0100
[  794.077444] OUTBOUND       : 1,  771,45482,127.0.0.1      ,127.0.0.1      ,0111
[  794.077456] INBOUND        : 1,  771,45482,127.0.0.1      ,127.0.0.1      ,0111
[  794.077500] OUTBOUND       :17,51802,   53,127.0.0.1      ,127.0.0.1      ,0100
[  794.077509] INBOUND        :17,51802,   53,127.0.0.1      ,127.0.0.1      ,0100
[  794.077524] OUTBOUND       : 1,  771,44526,127.0.0.1      ,127.0.0.1      ,1011
[  794.077532] INBOUND        : 1,  771,44526,127.0.0.1      ,127.0.0.1      ,1011
[  819.134853] Module open!!
[  850.909953] DROP(OUTBOUND) : 6,49214, 8888,192.168.56.102 ,192.168.56.101 ,1000
[  850.910004] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,1000
[  850.910291] OUTBOUND       : 6,57318, 4444,192.168.56.102 ,192.168.56.101 ,1000
[  850.910337] OUTBOUND       : 6,53144, 5555,192.168.56.102 ,192.168.56.101 ,1000
[  850.910368] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,1000
[  850.913599] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,1010
[  850.913688] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.913816] DROP(INBOUND)  : 6, 4444,57318,192.168.56.101 ,192.168.56.102 ,1010
[  850.913844] PROXY(INBOUND) : 6, 5555, 5555,192.168.56.101 ,131.1.1.1      ,1010
[  850.913905] OUTBOUND       : 1, 1281,38969,192.168.56.102 ,192.168.56.101 ,0000
[  850.913998] DROP(FORWARD)  : 6, 5555, 5555,192.168.56.101 ,131.1.1.1      ,1010
[  850.914024] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,1010
[  850.914073] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.915178] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.915735] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.915837] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.915979] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.916893] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.916940] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.917045] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.917206] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.918071] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.918108] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.920567] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.921121] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.922065] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.923065] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.924268] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.925178] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.925532] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.925591] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.925651] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.925679] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.925705] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.925731] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.926207] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.926282] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.926524] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.926566] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.926591] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.926614] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.926940] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.926962] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.926978] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.927337] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.927556] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.927760] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.928401] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.928477] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.928889] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.928907] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.928918] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.928975] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.929330] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.929750] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.932052] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.932359] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.932820] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.932853] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.932856] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.932965] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.933178] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.933196] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.933204] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.933278] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.933614] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.933706] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.934073] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.934131] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.934746] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.934854] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.935347] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
[  850.935360] INBOUND        : 6, 7777,53666,192.168.56.101 ,192.168.56.102 ,0010
[  850.935431] OUTBOUND       : 6,48298, 6666,192.168.56.102 ,192.168.56.101 ,0010
[  850.935461] OUTBOUND       : 6,53666, 7777,192.168.56.102 ,192.168.56.101 ,0010
[  850.935738] INBOUND        : 6, 6666,48298,192.168.56.101 ,192.168.56.102 ,0010
